time/fps,time/time_elapsed,time/total_timesteps,time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,train/approx_kl,train/entropy_loss,train/policy_gradient_loss,train/loss,train/explained_variance,train/learning_rate,train/value_loss,train/clip_fraction,train/n_updates,train/clip_range,train/std
1038,615,2638944,26,237.7865447998047,142.18,0.010566339,-16.762576166788737,-0.004466360962639252,58.268184661865234,0.9737591743469238,0.0003,121.48348744710286,0.07161458333333333,530,0.2,0.9778158664703369
1040,637,2663520,27,239.6417999267578,142.91,0.00786201,-16.738273239135744,-0.004435374781799813,59.12088394165039,0.9743054509162903,0.0003,118.95328013102214,0.0752197265625,535,0.2,0.9769496321678162
1042,660,2688096,28,239.63357543945312,140.1,0.009083371,-16.735597864786783,-0.004521214449778199,59.451419830322266,0.9738302230834961,0.0003,120.86786346435547,0.06737467447916666,540,0.2,0.9773102402687073
1042,683,2712672,29,239.94296264648438,143.38,0.008274308,-16.74506009419759,-0.00406440255853037,58.858489990234375,0.9748894572257996,0.0003,117.4957056681315,0.06688639322916666,545,0.2,0.9783818125724792
1044,706,2737248,30,240.57318115234375,143.07,0.007764028,-16.749579874674478,-0.0032052114761124055,59.12324523925781,0.9747814536094666,0.0003,119.6141835530599,0.05209147135416667,550,0.2,0.9777641296386719
1046,727,2761824,31,239.96009826660156,143.11,0.010490431,-16.73301035563151,-0.004296626670596501,58.91189193725586,0.9744095206260681,0.0003,119.88833516438802,0.07774251302083333,555,0.2,0.9757265448570251
1049,749,2786400,32,239.88246154785156,147.06,0.010642259,-16.708984883626304,-0.004543534495557348,59.054847717285156,0.9743128418922424,0.0003,121.53605804443359,0.0801025390625,560,0.2,0.9742781519889832
1050,772,2810976,33,241.60604858398438,145.77,0.007165765,-16.69677225748698,-0.0027894226213296255,59.217506408691406,0.9746789336204529,0.0003,120.98334147135417,0.04583333333333333,565,0.2,0.9735426902770996
1051,794,2835552,34,237.5706024169922,146.81,0.008537776,-16.689760462443033,-0.003924941077517966,60.55695724487305,0.9748642444610596,0.0003,119.68543853759766,0.072412109375,570,0.2,0.9733128547668457
1051,817,2860128,35,242.73477172851562,151.61,0.0076077282,-16.68802324930827,-0.0036571288326134282,61.69883346557617,0.9734894633293152,0.0003,127.74264729817709,0.056005859375,575,0.2,0.9733425974845886
1052,840,2884704,36,242.59396362304688,146.7,0.008072732,-16.684201431274413,-0.004037864494603127,63.115257263183594,0.9737573266029358,0.0003,127.98841705322266,0.06409505208333334,580,0.2,0.9724757671356201
1052,863,2909280,37,246.83644104003906,143.0,0.007688617,-16.673499552408853,-0.004388690895090501,62.84296798706055,0.9743068218231201,0.0003,124.53196818033854,0.0656494140625,585,0.2,0.9719252586364746
1054,885,2933856,38,247.09800720214844,146.44,0.011667515,-16.664478047688803,-0.00427260329015553,59.168296813964844,0.9739024043083191,0.0003,125.07577260335286,0.08755696614583333,590,0.2,0.9706904888153076
1052,910,2958432,39,245.65380859375,145.07,0.00808334,-16.646381505330403,-0.0030591840545336406,57.5960807800293,0.9749329686164856,0.0003,119.82647705078125,0.0676025390625,595,0.2,0.9696558117866516
1052,933,2983008,40,244.62832641601562,149.87,0.009667584,-16.63748690287272,-0.0043760981100300946,58.92759323120117,0.9750959873199463,0.0003,118.41465504964192,0.08531901041666666,600,0.2,0.9692635536193848
1052,957,3007584,41,249.4199676513672,148.95,0.008416523,-16.638133875528972,-0.004130311644015213,57.74125289916992,0.9757329225540161,0.0003,117.74413859049479,0.08102213541666667,605,0.2,0.9700010418891907
1052,980,3032160,42,245.14224243164062,150.12,0.007520851,-16.65010871887207,-0.003258094882282118,57.28492736816406,0.9753273725509644,0.0003,116.9002685546875,0.05681966145833333,610,0.2,0.9709914326667786
1052,1003,3056736,43,248.67018127441406,150.38,0.0063020377,-16.655463155110677,-0.002238744602072984,59.3289680480957,0.9750171899795532,0.0003,121.66107533772787,0.03738606770833333,615,0.2,0.9705250859260559
1051,1028,3081312,44,246.2346649169922,154.18,0.009094355,-16.64980494181315,-0.004609691817313433,52.723175048828125,0.9772566556930542,0.0003,109.8173599243164,0.07972819010416667,620,0.2,0.9706627726554871
1051,1051,3105888,45,247.32032775878906,150.5,0.0069889887,-16.653524525960286,-0.003356296910593907,55.37824630737305,0.9759659767150879,0.0003,116.36797841389973,0.05044759114583333,625,0.2,0.9706096053123474
1052,1074,3130464,46,246.96981811523438,154.41,0.008214629,-16.64877726236979,-0.003220546152442694,57.039371490478516,0.9767515659332275,0.0003,113.30894063313802,0.06396484375,630,0.2,0.9699648022651672
1054,1095,3155040,47,248.1434326171875,151.21,0.0073142094,-16.63588104248047,-0.003846738914338251,58.23099136352539,0.9761151075363159,0.0003,116.54798787434896,0.0631103515625,635,0.2,0.9686635136604309
1055,1117,3179616,48,251.7551727294922,152.05,0.0065188645,-16.62426732381185,-0.003600608433286349,61.21902847290039,0.9754476547241211,0.0003,121.38814341227213,0.05596516927083333,640,0.2,0.9680920243263245
1055,1141,3204192,49,251.58914184570312,155.65,0.007928727,-16.61589215596517,-0.004058300036316117,59.790077209472656,0.9759326577186584,0.0003,119.95380554199218,0.049153645833333336,645,0.2,0.9670900702476501
1056,1162,3228768,50,254.04132080078125,154.58,0.00747286,-16.600375747680665,-0.003046334278769791,59.06194305419922,0.976419985294342,0.0003,116.4263921101888,0.0454345703125,650,0.2,0.9658253192901611
1057,1185,3253344,51,250.85531616210938,154.62,0.0089028245,-16.584990056355796,-0.004233796219341457,56.35984420776367,0.9768953323364258,0.0003,112.45216217041016,0.0639404296875,655,0.2,0.9644145965576172
1058,1207,3277920,52,257.0519714355469,152.23,0.006905252,-16.565610631306967,-0.0030107129598036407,58.92163848876953,0.9756946563720703,0.0003,120.90364837646484,0.06603190104166666,660,0.2,0.9632970690727234
1059,1229,3302496,53,257.6129150390625,159.68,0.0069653527,-16.558582560221353,-0.0030621737396965424,55.56023025512695,0.9768373966217041,0.0003,110.90328928629557,0.0490966796875,665,0.2,0.9634614586830139
1061,1250,3327072,54,255.95509338378906,157.25,0.0072249933,-16.5615234375,-0.0029130539546410243,59.57474136352539,0.9760411977767944,0.0003,118.00055440266927,0.04674479166666667,670,0.2,0.9635341763496399
1062,1271,3351648,55,255.77029418945312,154.71,0.0071997824,-16.55756047566732,-0.003715485893189907,57.926719665527344,0.9763798713684082,0.0003,114.63048095703125,0.06314290364583333,675,0.2,0.9630343914031982
1064,1292,3376224,56,255.61871337890625,156.86,0.0076613217,-16.550364685058593,-0.003984895061391095,56.770565032958984,0.9768959283828735,0.0003,113.41539611816407,0.06088053385416667,680,0.2,0.9623534679412842
1065,1315,3400800,57,255.4886932373047,159.65,0.0071563725,-16.54222526550293,-0.004004862989919881,56.629722595214844,0.9765976667404175,0.0003,114.6082280476888,0.06604817708333334,685,0.2,0.9620749950408936
1066,1337,3425376,58,256.3172607421875,163.55,0.0066867154,-16.539543914794923,-0.0029931898151213925,57.78400421142578,0.9761378169059753,0.0003,117.97186279296875,0.05721842447916667,690,0.2,0.9616207480430603
1066,1359,3449952,59,263.4818115234375,165.77,0.0071256864,-16.53382771809896,-0.003836959321051836,57.33182907104492,0.9764342308044434,0.0003,116.82500712076823,0.0560791015625,695,0.2,0.9613707065582275
1066,1382,3474528,60,257.35980224609375,155.29,0.00809203,-16.53078015645345,-0.002912739656555156,56.98407745361328,0.9760807156562805,0.0003,117.29855092366536,0.060750325520833336,700,0.2,0.9610516428947449
1065,1406,3499104,61,263.4488525390625,159.07,0.00550369,-16.52686398824056,-0.002223000015753011,57.74892807006836,0.9767091274261475,0.0003,115.94852193196614,0.0442138671875,705,0.2,0.9609277844429016
1067,1427,3523680,62,268.8460998535156,160.31,0.0069397087,-16.5224728902181,-0.003918699307056765,51.727813720703125,0.9784539341926575,0.0003,107.11231231689453,0.04578450520833333,710,0.2,0.9600286483764648
1067,1450,3548256,63,257.81536865234375,165.01,0.010183067,-16.506420771280926,-0.004380903641382853,54.15019989013672,0.9781774282455444,0.0003,106.61630249023438,0.07791341145833333,715,0.2,0.9585416913032532
1068,1472,3572832,64,265.12176513671875,166.3,0.0069095124,-16.488786697387695,-0.0025071096839383244,57.1660270690918,0.9774498343467712,0.0003,114.30047861735027,0.06498209635416667,720,0.2,0.9575433135032654
1068,1494,3597408,65,264.6219787597656,165.8,0.008831879,-16.476885732014974,-0.0032574919906134406,54.53289031982422,0.9780669808387756,0.0003,110.34437052408855,0.07918294270833333,725,0.2,0.956569254398346
1069,1515,3621984,66,272.35565185546875,165.2,0.0048640133,-16.46762669881185,-0.0030827593912060064,53.629180908203125,0.9780706167221069,0.0003,109.9425786336263,0.0510498046875,730,0.2,0.9564332962036133
1070,1538,3646560,67,264.0430603027344,163.16,0.007025851,-16.464160664876303,-0.0031553198350593448,53.22608184814453,0.9783470630645752,0.0003,107.11574198404948,0.0533935546875,735,0.2,0.9555978178977966
1070,1561,3671136,68,271.9682922363281,168.16,0.0077868453,-16.451577377319335,-0.004066276038065553,52.17650604248047,0.9780592322349548,0.0003,108.99855397542318,0.05587565104166667,740,0.2,0.9548736214637756
1070,1583,3695712,69,271.3341979980469,165.72,0.0053868736,-16.44516258239746,-0.0023919855632508796,57.20087432861328,0.976539134979248,0.0003,115.00378774007162,0.0420166015625,745,0.2,0.954704999923706
1070,1606,3720288,70,276.63543701171875,169.8,0.006360072,-16.442973073323568,-0.0039037253397206464,55.171260833740234,0.9767615795135498,0.0003,111.86743418375652,0.06495768229166667,750,0.2,0.954246997833252
1070,1629,3744864,71,269.2392272949219,165.28,0.008315984,-16.436985397338866,-0.0035831418121233583,53.70377731323242,0.9781389236450195,0.0003,106.75561218261718,0.05099283854166667,755,0.2,0.9539023041725159
1070,1652,3769440,72,274.94873046875,168.44,0.008647098,-16.43577257792155,-0.0037193029886111615,55.87485885620117,0.9774678349494934,0.0003,109.86653188069661,0.0544677734375,760,0.2,0.9538688659667969
1070,1675,3794016,73,273.21844482421875,170.6,0.0060742204,-16.436130905151366,-0.0033903885438727834,52.05284118652344,0.9783048033714294,0.0003,107.03547871907553,0.0459716796875,765,0.2,0.9541451334953308
1070,1698,3818592,74,270.1017150878906,169.59,0.005478367,-16.43764394124349,-0.00332743051306655,53.444576263427734,0.9776182174682617,0.0003,110.87283477783203,0.04708658854166667,770,0.2,0.9539975523948669
1071,1720,3843168,75,276.2890930175781,174.63,0.0070383637,-16.4326904296875,-0.002784161529658983,59.906593322753906,0.975801408290863,0.0003,119.24688568115235,0.059488932291666664,775,0.2,0.9534521102905273
1071,1742,3867744,76,273.3624267578125,176.26,0.005555579,-16.426041158040366,-0.0029137336493780214,54.09675598144531,0.9784687757492065,0.0003,107.33414052327474,0.037003580729166666,780,0.2,0.952954113483429
1072,1764,3892320,77,272.16229248046875,169.7,0.008891714,-16.420117568969726,-0.0035146545618772508,55.64043426513672,0.9779162406921387,0.0003,110.39913482666016,0.06580403645833334,785,0.2,0.9525547027587891
1072,1788,3916896,78,284.5106506347656,176.8,0.00761221,-16.41328379313151,-0.003090171345199148,53.83741760253906,0.9778995513916016,0.0003,112.21140085856119,0.0435791015625,790,0.2,0.9516673684120178
1070,1813,3941472,79,281.1534118652344,174.01,0.007965557,-16.399003982543945,-0.003097774701503416,52.391639709472656,0.978175163269043,0.0003,105.28096313476563,0.045263671875,795,0.2,0.9504088759422302
1070,1837,3966048,80,284.0343017578125,176.19,0.0059977826,-16.383617528279622,-0.0028181811949859062,55.470096588134766,0.9775561690330505,0.0003,113.33322703043619,0.0539794921875,800,0.2,0.9494226574897766
1070,1860,3990624,81,290.13067626953125,181.61,0.0069066132,-16.37325528462728,-0.0028313268053655823,51.83978271484375,0.9778009653091431,0.0003,106.78662770589193,0.054947916666666666,805,0.2,0.9488174915313721
1069,1884,4015200,82,284.21502685546875,177.42,0.0044281525,-16.367350006103514,-0.001937284367159009,56.17627716064453,0.975699245929718,0.0003,116.74719543457032,0.026277669270833335,810,0.2,0.9486520290374756
