rollout/ep_rew_mean,time/fps,time/time_elapsed,time/total_timesteps,time/iterations,rollout/ep_len_mean,train/policy_gradient_loss,train/value_loss,train/clip_fraction,train/std,train/n_updates,train/explained_variance,train/learning_rate,train/entropy_loss,train/loss,train/approx_kl,train/clip_range
238.9044189453125,1042,730,2761824,31,145.17,-0.004272126002858082,124.82407023111979,0.077734375,0.9870195388793945,555,0.9732435941696167,0.0003,-16.85825449625651,60.88639450073242,0.00946679,0.2
243.10568237304688,1041,755,2786400,32,142.12,-0.0030903029760035376,125.90392761230468,0.054972330729166664,0.9866456985473633,560,0.972925066947937,0.0003,-16.850720087687176,62.08095932006836,0.006272283,0.2
242.49627685546875,1039,780,2810976,33,142.51,-0.0037254426007469494,119.14333801269531,0.059488932291666664,0.9874486327171326,565,0.9738423824310303,0.0003,-16.851317850748696,58.757625579833984,0.008267649,0.2
245.15158081054688,1040,802,2835552,34,146.11,-0.0030552837920064728,118.11757100423178,0.042374674479166666,0.9871631264686584,570,0.9739935398101807,0.0003,-16.85838088989258,58.32855987548828,0.007040361,0.2
245.85464477539062,1040,827,2860128,35,149.27,-0.0036086481452609104,122.03542633056641,0.046468098958333336,0.9862502217292786,575,0.9734030365943909,0.0003,-16.848819986979166,59.944801330566406,0.0067556775,0.2
249.01431274414062,1041,849,2884704,36,148.83,-0.003016946243587881,121.54977366129557,0.053572591145833334,0.9853017926216125,580,0.9731783270835876,0.0003,-16.83793398539225,61.605384826660156,0.007678127,0.2
247.52220153808594,1042,872,2909280,37,148.09,-0.0033114765072241427,117.20211283365886,0.05929361979166667,0.9844300150871277,585,0.9741249084472656,0.0003,-16.826771545410157,56.956050872802734,0.008371121,0.2
249.9927215576172,1043,895,2933856,38,146.36,-0.003579059068579227,119.75112762451172,0.0625244140625,0.9838035702705383,590,0.9737647771835327,0.0003,-16.81691093444824,59.17475128173828,0.008949206,0.2
249.55413818359375,1043,918,2958432,39,144.99,-0.0037385475588962436,113.94502817789713,0.06234537760416667,0.9830186367034912,595,0.9749437570571899,0.0003,-16.80800501505534,55.10780334472656,0.0071290024,0.2
249.84927368164062,1042,942,2983008,40,147.37,-0.0032075679395347835,116.02810974121094,0.07284342447916667,0.9830458760261536,600,0.9746068120002747,0.0003,-16.802483240763348,58.28169631958008,0.00822452,0.2
247.8980255126953,1042,966,3007584,41,149.91,-0.00322228295262903,114.15712534586588,0.05569661458333333,0.9832772612571716,605,0.9754899144172668,0.0003,-16.80394109090169,57.22444534301758,0.00586848,0.2
250.79034423828125,1043,989,3032160,42,151.66,-0.003967650948713223,115.43939768473307,0.05394694010416667,0.9827274680137634,610,0.9752588272094727,0.0003,-16.80281728108724,56.799522399902344,0.0074390494,0.2
254.45945739746094,1042,1013,3056736,43,148.54,-0.003288031635262693,110.67403361002604,0.06302083333333333,0.9817110896110535,615,0.9761801362037659,0.0003,-16.7925542195638,55.743080139160156,0.008761137,0.2
254.55062866210938,1041,1038,3081312,44,150.84,-0.0031013651479346056,109.2158940633138,0.06219889322916667,0.9806974530220032,620,0.9762409925460815,0.0003,-16.77954037984212,54.574073791503906,0.008672331,0.2
249.9133758544922,1040,1062,3105888,45,148.3,-0.003663273248821497,111.79922281901041,0.062483723958333334,0.9797634482383728,625,0.9755341410636902,0.0003,-16.76650199890137,54.81835174560547,0.007889646,0.2
254.41915893554688,1038,1088,3130464,46,152.29,-0.002397317951545119,111.87154947916666,0.0439208984375,0.9793468117713928,630,0.9759522676467896,0.0003,-16.757208251953124,57.13151550292969,0.0059218984,0.2
254.89871215820312,1037,1112,3155040,47,150.61,-0.0032422854642694195,108.98932545979818,0.053792317708333336,0.9786171913146973,635,0.9766964316368103,0.0003,-16.751290384928385,54.9201774597168,0.0079646865,0.2
253.29824829101562,1035,1139,3179616,48,150.44,-0.0032376127210833753,117.90843353271484,0.0489990234375,0.9784566760063171,640,0.9750402569770813,0.0003,-16.742914708455405,57.773590087890625,0.008391846,0.2
254.8415069580078,1034,1163,3204192,49,149.46,-0.003293760322655241,106.31005350748698,0.0500244140625,0.9777219891548157,645,0.9774318337440491,0.0003,-16.740673319498697,54.032535552978516,0.006444155,0.2
257.3310852050781,1034,1188,3228768,50,155.98,-0.0024455680511891844,108.58876393636068,0.0980712890625,0.9767597317695618,650,0.9765525460243225,0.0003,-16.7265318552653,55.1529655456543,0.0088701,0.2
258.6532897949219,1034,1212,3253344,51,153.3,-0.0037905076635070143,110.13540293375651,0.07100423177083333,0.975412905216217,655,0.9767336249351501,0.0003,-16.713174311319985,55.24760055541992,0.0086577125,0.2
257.8822937011719,1033,1236,3277920,52,155.08,-0.003417158608014385,107.96289876302083,0.06946614583333334,0.9747751355171204,660,0.9765051007270813,0.0003,-16.698608525594075,52.45024108886719,0.008483718,0.2
259.7460632324219,1032,1261,3302496,53,158.0,-0.002013254377137249,112.54664866129558,0.04697265625,0.9744895100593567,665,0.975797712802887,0.0003,-16.694595718383788,56.30859375,0.006525911,0.2
