time/total_timesteps,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/time_elapsed,train/value_loss,train/n_updates,train/policy_gradient_loss,train/clip_range,train/learning_rate,train/loss,train/entropy_loss,train/approx_kl,train/clip_fraction,train/std,train/explained_variance
2491488,20,137.37,238.75169372558594,1040,472,114.49110921223958,500,-0.002908812862976144,0.2,0.0003,55.28080749511719,-16.894114812215168,0.006179255,0.047705078125,0.9891307950019836,0.973432183265686
2516064,21,137.77,239.52642822265625,1036,498,111.29868927001954,505,-0.0036332470442478853,0.2,0.0003,57.76469802856445,-16.884882736206055,0.008353786,0.061930338541666664,0.9886271357536316,0.9740839004516602
2540640,22,140.09,242.09912109375,1033,523,111.96243947347006,510,-0.0037499039977168043,0.2,0.0003,54.45647048950195,-16.87637736002604,0.007927251,0.0638671875,0.9875977635383606,0.9744899272918701
2565216,23,140.73,241.94459533691406,1034,546,112.44091084798177,515,-0.0032311361360674103,0.2,0.0003,54.74580001831055,-16.862044016520183,0.006722218,0.047989908854166666,0.9866979718208313,0.9743075966835022
2589792,24,139.65,242.7311553955078,1037,568,115.60458831787109,520,-0.004371217063938578,0.2,0.0003,58.06475830078125,-16.85312271118164,0.008056782,0.06844889322916667,0.9860896468162537,0.9736517071723938
2614368,25,141.29,238.6227569580078,1037,592,111.18517659505208,525,-0.0022209746025813122,0.2,0.0003,54.49016571044922,-16.84560775756836,0.0068235337,0.03473307291666667,0.9857144355773926,0.9749389886856079
2638944,26,144.97,244.89385986328125,1039,614,121.65895029703776,530,-0.004003455978818238,0.2,0.0003,58.528297424316406,-16.838394037882487,0.006254435,0.05060221354166667,0.9847433567047119,0.9720340371131897
2663520,27,143.47,244.01422119140625,1040,637,111.36169789632162,535,-0.002974142925813794,0.2,0.0003,52.87310028076172,-16.827924092610676,0.00631191,0.05,0.984194815158844,0.974697470664978
2688096,28,141.2,246.92771911621094,1040,661,110.56620635986329,540,-0.003656556465042134,0.2,0.0003,55.58090591430664,-16.82414093017578,0.007312613,0.05506184895833333,0.9840171933174133,0.9743068218231201
2712672,29,140.78,243.72845458984375,1043,683,112.48007710774739,545,-0.0035243838482225936,0.2,0.0003,54.51945114135742,-16.818378321329753,0.0073269624,0.05502115885416667,0.9828863143920898,0.9743866324424744
2737248,30,143.54,245.48577880859375,1042,707,113.07557169596355,550,-0.004214115883223712,0.2,0.0003,56.65909194946289,-16.800128682454428,0.008473064,0.070849609375,0.9812251925468445,0.97408127784729
2761824,31,143.07,247.26345825195312,1041,731,112.30247243245442,555,-0.004165278064707915,0.2,0.0003,56.12150573730469,-16.784125900268556,0.006315155,0.07413736979166667,0.9808492064476013,0.9750209450721741
2786400,32,141.85,243.97845458984375,1041,755,113.3701680501302,560,-0.0038936977507546544,0.2,0.0003,55.50575637817383,-16.785546493530273,0.008783468,0.07294921875,0.9813588261604309,0.9744910597801208
2810976,33,147.18,252.2891845703125,1044,776,114.07594706217448,565,-0.004200012671450774,0.2,0.0003,57.268463134765625,-16.7857546488444,0.009981549,0.09265950520833334,0.9805571436882019,0.9746906161308289
2835552,34,149.9,253.73756408691406,1045,799,114.7885025024414,570,-0.003475399191180865,0.2,0.0003,56.271236419677734,-16.770009358723957,0.0073900395,0.05069173177083333,0.9791209101676941,0.9744033217430115
2860128,35,144.58,252.0451202392578,1045,822,116.48618621826172,575,-0.003641102936429282,0.2,0.0003,56.477012634277344,-16.751375579833983,0.008837438,0.061376953125,0.9777186512947083,0.9735969305038452
2884704,36,147.23,252.49960327148438,1046,845,117.50091552734375,580,-0.001853563516245534,0.2,0.0003,56.3993034362793,-16.737065760294595,0.0061677066,0.028670247395833334,0.9765887260437012,0.9739534258842468
2909280,37,150.43,251.9379425048828,1045,870,110.35647684733073,585,-0.001574067259207368,0.2,0.0003,55.47468948364258,-16.724598058064778,0.007019479,0.04718424479166667,0.9761040806770325,0.9753349423408508
