time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,time/iterations,rollout/ep_rew_mean,time/fps,train/value_loss,train/clip_range,train/approx_kl,train/entropy_loss,train/policy_gradient_loss,train/n_updates,train/learning_rate,train/loss,train/explained_variance,train/clip_fraction,train/std
2344032,136.14,325,14,235.6380615234375,1057,111.16599884033204,0.2,0.006195924,-16.999352518717448,-0.003649219979221622,470,0.0003,53.390174865722656,0.9736171960830688,0.0533935546875,0.9978639483451843
2368608,134.87,349,15,231.51980590820312,1054,110.98189798990886,0.2,0.007708119,-16.982876459757488,-0.0032858434366062283,475,0.0003,54.901145935058594,0.9743407964706421,0.050390625,0.9968765377998352
2393184,134.62,374,16,234.61424255371094,1051,112.76751149495443,0.2,0.007605812,-16.974350229899088,-0.003599042926604549,480,0.0003,54.03065872192383,0.9738588333129883,0.05703125,0.9963211417198181
2417760,134.48,396,17,234.80624389648438,1052,112.63203277587891,0.2,0.0067960755,-16.975392786661782,-0.003620297648012638,485,0.0003,55.32378005981445,0.973983883857727,0.05303548177083333,0.9977609515190125
2442336,135.82,419,18,235.92697143554688,1054,114.94406433105469,0.2,0.007025674,-16.996856943766275,-0.003242722627085944,490,0.0003,56.458255767822266,0.9734333157539368,0.05728352864583333,0.9992671012878418
2466912,135.64,441,19,237.76121520996094,1058,111.31120351155599,0.2,0.007637127,-17.004609044392904,-0.0031262323531943063,495,0.0003,54.61836624145508,0.9742869734764099,0.05023600260416667,0.9989888668060303
2491488,139.21,463,20,237.2149658203125,1061,113.17549387613933,0.2,0.0077983234,-16.99588139851888,-0.003681109077297151,500,0.0003,54.261512756347656,0.9742174744606018,0.0625,0.9978616237640381
2516064,137.96,485,21,235.34954833984375,1062,118.49870402018229,0.2,0.0077682063,-16.982668685913087,-0.0035751056702186665,505,0.0003,59.19715118408203,0.9730905294418335,0.061238606770833336,0.9970738887786865
2540640,137.39,509,22,235.12525939941406,1060,116.74157969156902,0.2,0.007565466,-16.97775395711263,-0.003218979272060096,510,0.0003,58.05924987792969,0.9734342098236084,0.050634765625,0.9969642162322998
2565216,139.21,532,23,236.8013916015625,1062,118.49816233317057,0.2,0.008791491,-16.974866104125976,-0.004005218987974028,515,0.0003,58.201351165771484,0.9733057618141174,0.06372884114583334,0.9960866570472717
2589792,140.28,553,24,241.1055145263672,1064,120.35269826253256,0.2,0.008392042,-16.959774271647134,-0.003962066734675318,520,0.0003,60.76580047607422,0.9731469750404358,0.076220703125,0.9948954582214355
2614368,138.69,576,25,237.3892059326172,1066,114.1771469116211,0.2,0.008169093,-16.949566650390626,-0.003724004561081529,525,0.0003,57.155670166015625,0.9741289019584656,0.057169596354166664,0.9943010210990906
2638944,143.52,599,26,234.80845642089844,1065,121.32071787516276,0.2,0.007707365,-16.947101211547853,-0.004022354112627606,530,0.0003,59.07026672363281,0.9728738069534302,0.06869303385416667,0.9948146343231201
2663520,140.71,623,27,239.27809143066406,1064,126.30463155110677,0.2,0.008236054,-16.956218846638997,-0.00422734742363294,535,0.0003,64.25043487548828,0.9725863337516785,0.07574055989583334,0.9954788684844971
2688096,143.47,645,28,240.69105529785156,1066,124.28816833496094,0.2,0.0071127284,-16.955564498901367,-0.0033942563459277153,540,0.0003,61.322261810302734,0.9730002880096436,0.058308919270833336,0.994579553604126
