time/fps,time/time_elapsed,rollout/ep_len_mean,time/iterations,time/total_timesteps,rollout/ep_rew_mean,train/std,train/clip_range,train/learning_rate,train/entropy_loss,train/clip_fraction,train/explained_variance,train/policy_gradient_loss,train/loss,train/value_loss,train/approx_kl,train/n_updates
1191,268,133.39,13,319488,183.93869018554688,1.0046428442001343,0.2,0.0003,-17.08290189107259,8.138020833333333e-06,0.49805396795272827,-0.0011735666853686173,382.8809509277344,807.1876017252604,0.0007885332,60
1189,289,132.86,14,344064,179.3000946044922,1.0045307874679565,0.2,0.0003,-17.082150650024413,8.138020833333333e-06,0.5371906757354736,-0.0010674427651489774,375.2406311035156,780.636893717448,0.00062359805,65
1186,310,135.8,15,368640,185.04660034179688,1.0042297840118408,0.2,0.0003,-17.079918924967448,2.44140625e-05,0.5592617988586426,-0.001550359542792042,374.43719482421875,773.6958577473958,0.0008692735,70
1180,333,136.03,16,393216,182.8581085205078,1.004003882408142,0.2,0.0003,-17.07625389099121,6.510416666666667e-05,0.5836381912231445,-0.0015570165705867112,358.52618408203125,741.8560913085937,0.0011850646,75
1178,354,134.03,17,417792,184.33998107910156,1.0040074586868286,0.2,0.0003,-17.074861780802408,3.255208333333333e-05,0.6123776435852051,-0.001421438118753334,350.8645935058594,736.3861775716146,0.00091080205,80
1176,376,134.2,18,442368,186.16273498535156,1.0042179822921753,0.2,0.0003,-17.07605349222819,4.8828125e-05,0.6506385803222656,-0.0013040958360458414,341.3899230957031,699.1252563476562,0.0008631779,85
1176,397,133.58,19,466944,187.8411102294922,1.0041626691818237,0.2,0.0003,-17.077507146199544,4.8828125e-05,0.6726062297821045,-0.0015498395543545485,327.4612731933594,684.399727376302,0.0010368931,90
1171,419,133.99,20,491520,184.44668579101562,1.0043843984603882,0.2,0.0003,-17.077435048421226,0.00035807291666666664,0.6852145195007324,-0.0017302703694440425,332.7694091796875,677.8804239908854,0.0015641862,95
1167,442,135.86,21,516096,188.0403289794922,1.0043879747390747,0.2,0.0003,-17.080220286051432,0.0010335286458333333,0.7191079258918762,-0.0019648179431290677,311.50567626953125,643.8294189453125,0.002063744,100
1167,463,135.49,22,540672,192.20916748046875,1.0041652917861938,0.2,0.0003,-17.078104782104493,0.0005126953125,0.7339417934417725,-0.001578744302969426,302.3233642578125,629.9906941731771,0.0017007011,105
1168,483,134.63,23,565248,191.4761962890625,1.0038288831710815,0.2,0.0003,-17.075009918212892,0.0004964192708333333,0.7450169324874878,-0.0019624328415375203,293.7882080078125,617.7367431640625,0.0017138716,110
1167,505,133.62,24,589824,196.06768798828125,1.002845287322998,0.2,0.0003,-17.06811943054199,0.0011393229166666667,0.7747132778167725,-0.0021306237981965144,276.7369384765625,577.0123291015625,0.0022217436,115
1167,526,134.74,25,614400,201.4724578857422,1.0029281377792358,0.2,0.0003,-17.059394709269206,0.0023274739583333333,0.8108782172203064,-0.0020827717846259473,258.09210205078125,536.7263509114583,0.0027609877,120
1164,548,133.99,26,638976,201.3214111328125,1.0036848783493042,0.2,0.0003,-17.065955607096353,0.0027913411458333334,0.8238334655761719,-0.0023545886428716282,257.427490234375,526.5499938964844,0.0028679576,125
1162,570,131.59,27,663552,201.11492919921875,1.0039986371994019,0.2,0.0003,-17.073064041137695,0.0030843098958333332,0.8393247127532959,-0.0020826452411711214,246.3617401123047,508.78697102864584,0.003008763,130
1161,592,131.91,28,688128,201.9810028076172,1.004284143447876,0.2,0.0003,-17.075701904296874,0.0008138020833333334,0.8465707302093506,-0.001999445135394732,242.6157684326172,499.2577860514323,0.0020190922,135
1163,612,133.12,29,712704,200.95716857910156,1.004309058189392,0.2,0.0003,-17.07844632466634,0.0019938151041666665,0.8602206707000732,-0.001876873003008465,228.73309326171875,477.0374267578125,0.0025674168,140
1161,634,131.52,30,737280,195.67091369628906,1.0046786069869995,0.2,0.0003,-17.07947324117025,0.0033365885416666665,0.8737062811851501,-0.002193428707929949,218.58238220214844,451.6990478515625,0.0029813752,145
1161,655,132.62,31,761856,203.79534912109375,1.0055992603302002,0.2,0.0003,-17.087314732869466,0.002140299479166667,0.8732169270515442,-0.002174009592272341,210.34185791015625,442.5144002278646,0.0025806047,150
1157,679,131.35,32,786432,202.69935607910156,1.00625741481781,0.2,0.0003,-17.097514851888022,0.0039632161458333336,0.8868308067321777,-0.0020283041211465996,203.6365509033203,419.54102376302086,0.0031315528,155
1154,702,135.8,33,811008,196.04124450683594,1.0065644979476929,0.2,0.0003,-17.10324846903483,0.0013834635416666667,0.8933073282241821,-0.0018628931837156415,193.15794372558594,403.1447245279948,0.0022695654,160
1151,725,134.47,34,835584,201.53704833984375,1.0067452192306519,0.2,0.0003,-17.105886459350586,0.0008382161458333333,0.8897055387496948,-0.001790136801234136,191.87838745117188,399.0036905924479,0.0020269647,165
1149,748,132.33,35,860160,203.9237823486328,1.0069280862808228,0.2,0.0003,-17.108009974161785,0.0009033203125,0.9002944231033325,-0.0017254277520502607,181.70700073242188,378.06043701171876,0.0019428871,170
1146,771,133.3,36,884736,204.0360565185547,1.0068683624267578,0.2,0.0003,-17.109309895833334,0.019588216145833334,0.9048048257827759,-0.0029016633013573784,175.21145629882812,363.92083333333335,0.005946547,175
1147,792,130.61,37,909312,210.99188232421875,1.00657057762146,0.2,0.0003,-17.106440099080405,0.0040852864583333336,0.9021956324577332,-0.0022325319858888786,177.2500457763672,363.90911661783855,0.0032289298,180
1149,812,134.48,38,933888,202.9123992919922,1.0063467025756836,0.2,0.0003,-17.1033073425293,0.013517252604166667,0.9087129831314087,-0.0023672039387747645,168.49525451660156,352.3849772135417,0.004976963,185
1148,834,129.25,39,958464,205.6073455810547,1.0063306093215942,0.2,0.0003,-17.101306660970053,0.0010904947916666667,0.9003989100456238,-0.001992250249410669,168.36936950683594,352.51361083984375,0.0020755504,190
1146,857,131.57,40,983040,208.07867431640625,1.0067152976989746,0.2,0.0003,-17.103265635172527,0.003483072916666667,0.9023028612136841,-0.0020747440789515774,168.46676635742188,354.46714274088544,0.0029559666,195
1145,879,132.83,41,1007616,204.3760223388672,1.0068763494491577,0.2,0.0003,-17.107273864746094,0.0033121744791666666,0.9077293872833252,-0.0018846638578300676,161.05709838867188,336.4744486490885,0.002836886,200
1147,899,133.1,42,1032192,207.69125366210938,1.0073572397232056,0.2,0.0003,-17.109953435262046,0.006925455729166667,0.910008430480957,-0.0020546344729761284,155.6583709716797,330.5578206380208,0.0037894342,205
1147,920,135.23,43,1056768,205.95516967773438,1.0079922676086426,0.2,0.0003,-17.116977055867512,0.0015462239583333333,0.9126783609390259,-0.0012976966837110618,151.42916870117188,320.9876953125,0.0020200408,210
1147,942,132.63,44,1081344,207.33868408203125,1.008538842201233,0.2,0.0003,-17.124246978759764,0.008683268229166667,0.9109784960746765,-0.002269031332495312,157.112548828125,326.4709838867187,0.0041800956,215
1146,964,132.27,45,1105920,210.99436950683594,1.0090056657791138,0.2,0.0003,-17.129754384358723,0.008837890625,0.9195593595504761,-0.0020487196122606593,147.78579711914062,307.4397705078125,0.004331473,220
1145,987,132.84,46,1130496,210.22640991210938,1.0097390413284302,0.2,0.0003,-17.136502075195313,0.0070149739583333336,0.9262875318527222,-0.002317474076213936,139.49188232421875,289.6445576985677,0.003907098,225
1145,1008,129.62,47,1155072,211.66873168945312,1.0101879835128784,0.2,0.0003,-17.144334284464517,0.027327473958333334,0.9270812273025513,-0.002920121179583172,138.4134979248047,288.5264444986979,0.007107053,230
1143,1031,127.32,48,1179648,213.20558166503906,1.010644793510437,0.2,0.0003,-17.149212392171226,0.0030110677083333335,0.9278504848480225,-0.0018827190855517984,131.35450744628906,276.4030497233073,0.0029328912,235
1142,1053,127.48,49,1204224,212.87945556640625,1.0106276273727417,0.2,0.0003,-17.15262400309245,0.02646484375,0.928809642791748,-0.0026211602535719672,132.47259521484375,276.42994384765626,0.006685738,240
1143,1074,132.52,50,1228800,212.22979736328125,1.0099895000457764,0.2,0.0003,-17.148955408732096,0.018269856770833332,0.93361496925354,-0.002266825952877601,128.9134063720703,267.2221618652344,0.005506335,245
1142,1097,129.03,51,1253376,214.19285583496094,1.0094633102416992,0.2,0.0003,-17.140601094563802,0.0244140625,0.9395040273666382,-0.002512622973881662,120.38009643554688,251.29239501953126,0.0063897115,250
1142,1118,128.13,52,1277952,213.32183837890625,1.0095175504684448,0.2,0.0003,-17.137627410888673,0.004801432291666667,0.9378663301467896,-0.0017492870606171588,119.38423156738281,250.59613545735678,0.003282714,255
1141,1141,130.07,53,1302528,215.07081604003906,1.010216236114502,0.2,0.0003,-17.141632080078125,0.014103190104166666,0.94033282995224,-0.0023820800085862476,117.42839050292969,242.4017791748047,0.0051433067,260
1141,1163,131.34,54,1327104,210.50802612304688,1.010773777961731,0.2,0.0003,-17.15025545756022,0.020109049479166665,0.944693386554718,-0.0027290537332495053,113.3386459350586,231.26174825032552,0.006198635,265
1139,1186,133.58,55,1351680,215.97988891601562,1.0109529495239258,0.2,0.0003,-17.154578272501627,0.013785807291666667,0.9386976361274719,-0.0020985695494649312,113.37721252441406,241.59481099446614,0.005137959,270
1138,1208,130.5,56,1376256,215.5656280517578,1.0108217000961304,0.2,0.0003,-17.154567209879556,0.03392740885416667,0.9452434182167053,-0.0025897157844156026,106.92110443115234,226.91407674153646,0.0073855524,275
1138,1230,133.1,57,1400832,215.26438903808594,1.0106346607208252,0.2,0.0003,-17.152638117472332,0.012972005208333333,0.9468159079551697,-0.002252588273646931,103.51908874511719,215.5858388264974,0.004843434,280
1137,1253,130.77,58,1425408,215.84893798828125,1.0098928213119507,0.2,0.0003,-17.147189458211262,0.023429361979166667,0.9487707614898682,-0.002242269871445994,102.5530776977539,214.8936004638672,0.005618868,285
1136,1275,133.79,59,1449984,216.24853515625,1.0097061395645142,0.2,0.0003,-17.140755208333335,0.0120849609375,0.9483400583267212,-0.002347757628497978,100.3747329711914,210.44261678059897,0.0051351264,290
1136,1297,133.29,60,1474560,215.23374938964844,1.0102661848068237,0.2,0.0003,-17.142372385660806,0.024283854166666667,0.9506187438964844,-0.0023990425863303242,97.91818237304688,207.6408457438151,0.0063001737,295
1136,1319,132.18,61,1499136,220.54246520996094,1.0103116035461426,0.2,0.0003,-17.148246637980144,0.015730794270833334,0.9515285491943359,-0.0022321504851182303,99.8748550415039,205.21877950032552,0.005553499,300
1137,1339,133.23,62,1523712,221.17710876464844,1.0098625421524048,0.2,0.0003,-17.144890721638998,0.021305338541666666,0.9556436538696289,-0.002870917165031036,90.90675354003906,189.73917032877605,0.0060707983,305
1138,1360,133.21,63,1548288,224.89697265625,1.010367512702942,0.2,0.0003,-17.14351615905762,0.028133138020833334,0.9580453038215637,-0.0024139572555820147,87.71269989013672,183.70539042154948,0.0074768215,310
1139,1380,129.41,64,1572864,221.1869659423828,1.0100942850112915,0.2,0.0003,-17.147708384195962,0.023665364583333334,0.9587884545326233,-0.0023694269669552646,85.96566009521484,179.9694061279297,0.0067730304,315
1140,1400,130.71,65,1597440,224.2476806640625,1.0096089839935303,0.2,0.0003,-17.140908686319985,0.013077799479166667,0.957057535648346,-0.002053915336728096,85.80286407470703,177.69920043945314,0.004998417,320
1140,1422,132.0,66,1622016,223.52467346191406,1.0088393688201904,0.2,0.0003,-17.134287516276043,0.0308837890625,0.9604477882385254,-0.002767057220141093,82.29035186767578,170.78846740722656,0.0066857375,325
1139,1444,130.87,67,1646592,225.02236938476562,1.0080071687698364,0.2,0.0003,-17.124181111653645,0.033919270833333334,0.960719108581543,-0.002497551473788917,80.19720458984375,168.84747314453125,0.008023274,330
1140,1465,132.11,68,1671168,228.6342010498047,1.0081299543380737,0.2,0.0003,-17.118331909179688,0.021500651041666666,0.9610887169837952,-0.0020367776198933524,78.49949645996094,163.94883728027344,0.0063344315,335
1141,1485,134.32,69,1695744,221.37213134765625,1.0082437992095947,0.2,0.0003,-17.121256510416668,0.027775065104166666,0.9647687673568726,-0.002500668849097565,72.65185546875,156.16331787109374,0.0064254142,340
1142,1505,132.87,70,1720320,224.71490478515625,1.00834059715271,0.2,0.0003,-17.121317927042643,0.021199544270833332,0.9598997235298157,-0.0023819703919192156,78.15421295166016,164.17976989746094,0.0055990717,345
1142,1526,131.92,71,1744896,222.9540252685547,1.0081937313079834,0.2,0.0003,-17.121993255615234,0.04351399739583333,0.9653394222259521,-0.002783152977159868,71.97040557861328,150.52884419759116,0.0070508816,350
1143,1547,131.74,72,1769472,227.7442626953125,1.008015751838684,0.2,0.0003,-17.11863021850586,0.020979817708333334,0.964850902557373,-0.0020633196303000054,70.52750396728516,150.58670756022136,0.0060352026,355
1143,1569,130.29,73,1794048,225.80166625976562,1.0073755979537964,0.2,0.0003,-17.115293884277342,0.021012369791666666,0.9669126868247986,-0.0020569455965111652,67.77776336669922,145.1626169840495,0.00604934,360
1143,1590,127.92,74,1818624,226.51480102539062,1.0063291788101196,0.2,0.0003,-17.10446891784668,0.028645833333333332,0.9676116108894348,-0.0023058747950320444,66.80805969238281,138.83060811360676,0.006229144,365
1143,1611,132.32,75,1843200,228.66238403320312,1.0062410831451416,0.2,0.0003,-17.096215947469076,0.035294596354166666,0.965269923210144,-0.002520078249896566,67.13247680664062,143.8576680501302,0.0072501483,370
1143,1633,131.59,76,1867776,227.8413543701172,1.0073734521865845,0.2,0.0003,-17.10221710205078,0.039501953125,0.9691952466964722,-0.0034749859012663366,62.585960388183594,135.3700419108073,0.0066486835,375
1144,1652,134.28,77,1892352,226.18017578125,1.0067201852798462,0.2,0.0003,-17.108887736002604,0.03076171875,0.9692479968070984,-0.0027169552913013225,62.45551300048828,130.329443359375,0.006636454,380
1145,1673,133.63,78,1916928,229.29812622070312,1.0060075521469116,0.2,0.0003,-17.096350733439127,0.03986002604166667,0.9703134298324585,-0.002802938704068462,60.44683074951172,128.39484100341798,0.0051006586,385
1146,1693,132.08,79,1941504,228.6194305419922,1.0056270360946655,0.2,0.0003,-17.09078712463379,0.03863118489583333,0.971806526184082,-0.0028238746027151743,58.66693115234375,121.5250961303711,0.007659809,390
1147,1713,132.61,80,1966080,230.35873413085938,1.0052546262741089,0.2,0.0003,-17.085742568969728,0.03680013020833333,0.9708656072616577,-0.002543886626760165,59.23283767700195,125.04415079752604,0.006283282,395
1147,1734,131.96,81,1990656,232.12791442871094,1.0051498413085938,0.2,0.0003,-17.08230069478353,0.04729817708333333,0.9712534546852112,-0.0026416885666549206,59.70936584472656,123.18577372233072,0.0044426625,400
1148,1755,131.23,82,2015232,228.81105041503906,1.0050688982009888,0.2,0.0003,-17.08160400390625,0.0352294921875,0.9726406931877136,-0.002351816790178418,55.96767044067383,117.05603790283203,0.0055868924,405
