rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/total_timesteps,time/iterations,time/time_elapsed,train/clip_fraction,train/entropy_loss,train/loss,train/clip_range,train/n_updates,train/policy_gradient_loss,train/explained_variance,train/approx_kl,train/std,train/value_loss,train/learning_rate
197.43873596191406,1174,133.73,516096,21,439,0.0006917317708333334,-17.02528521219889,315.0465393066406,0.2,100,-0.0020377146468187374,0.7083149552345276,0.0017304277,0.9996451735496521,651.22880859375,0.0003
199.5460205078125,1170,133.18,540672,22,462,0.0008138020833333334,-17.021991729736328,314.6932678222656,0.2,105,-0.002069212484639138,0.7183903455734253,0.0018471383,0.999567449092865,655.3827921549479,0.0003
194.18051147460938,1166,132.26,565248,23,484,0.00126953125,-17.022695287068686,283.59564208984375,0.2,110,-0.00179856998535494,0.7658125162124634,0.002183241,0.9997329711914062,589.4716389973959,0.0003
192.94998168945312,1165,135.86,589824,24,506,0.0004964192708333333,-17.024814732869466,282.97869873046875,0.2,115,-0.0017183104918027917,0.7726974487304688,0.0017676825,0.9999082088470459,584.3359700520833,0.0003
195.0312042236328,1164,134.87,614400,25,527,0.0003255208333333333,-17.02857322692871,264.9360046386719,0.2,120,-0.001703511884746452,0.7978160381317139,0.0015107784,1.0004605054855347,555.8470377604167,0.0003
198.66046142578125,1162,133.74,638976,26,549,0.0007568359375,-17.034896723429362,252.6068115234375,0.2,125,-0.00186344503890723,0.8235477805137634,0.0019543604,1.0008001327514648,520.1524881998698,0.0003
193.48516845703125,1161,136.26,663552,27,571,0.0009602864583333333,-17.03595034281413,243.5377197265625,0.2,130,-0.0015983177814632653,0.8346144556999207,0.0019139741,1.0006448030471802,509.68004353841144,0.0003
198.62693786621094,1160,137.17,688128,28,593,0.000732421875,-17.033814239501954,238.59300231933594,0.2,135,-0.0018617058483262857,0.8445335626602173,0.0019151494,1.0005149841308594,491.456748453776,0.0003
194.87158203125,1158,134.81,712704,29,615,0.0043212890625,-17.033888626098634,224.1586151123047,0.2,140,-0.002307625502968828,0.860961377620697,0.0033107449,1.0007145404815674,466.1628743489583,0.0003
198.70172119140625,1158,133.04,737280,30,636,0.0020670572916666667,-17.034674835205077,225.72633361816406,0.2,145,-0.0022633718869959313,0.8593071103096008,0.0024012092,1.0004328489303589,469.54076334635414,0.0003
200.55050659179688,1158,133.31,761856,31,657,0.004256184895833333,-17.032568232218424,209.0706329345703,0.2,150,-0.0019918379606679083,0.8795636892318726,0.0032055061,1.0007516145706177,434.04945475260416,0.0003
199.02247619628906,1160,130.71,786432,32,677,0.0016927083333333334,-17.037612915039062,201.22772216796875,0.2,155,-0.001976507316188266,0.8846779465675354,0.0023347645,1.0009223222732544,422.5315266927083,0.0003
194.3393096923828,1162,133.57,811008,33,697,0.0059163411458333336,-17.037228139241538,193.81382751464844,0.2,160,-0.002230780804529786,0.890162467956543,0.0036239566,1.000844955444336,406.1875915527344,0.0003
196.1993408203125,1165,134.71,835584,34,717,0.004679361979166667,-17.03745346069336,192.4644012451172,0.2,165,-0.001934916580406328,0.8897537589073181,0.0031300585,1.0009983777999878,395.20888468424477,0.0003
200.6931610107422,1164,136.13,860160,35,738,0.004020182291666666,-17.042196655273436,191.78384399414062,0.2,170,-0.0019135549431666733,0.8892566561698914,0.0031329142,1.0017423629760742,395.1909993489583,0.0003
196.6156005859375,1165,134.54,884736,36,758,0.004109700520833333,-17.050441233317056,179.18197631835938,0.2,175,-0.0023924867622554303,0.8983661532402039,0.003070687,1.0021568536758423,373.6622273763021,0.0003
203.49151611328125,1166,132.14,909312,37,779,0.0076253255208333336,-17.05246747334798,175.16551208496094,0.2,180,-0.00237432256496201,0.8993460536003113,0.004102158,1.0020973682403564,365.6387471516927,0.0003
202.88153076171875,1167,133.08,933888,38,799,0.011954752604166667,-17.052208201090494,166.302001953125,0.2,185,-0.0024380127899348734,0.9098057746887207,0.0049334737,1.0023072957992554,342.6396484375,0.0003
201.0391845703125,1167,133.94,958464,39,821,0.0027587890625,-17.055502955118815,167.9308624267578,0.2,190,-0.0021477771399077026,0.9037739634513855,0.0027090253,1.0025120973587036,352.21132202148436,0.0003
