time/fps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,time/iterations,train/n_updates,train/explained_variance,train/approx_kl,train/loss,train/clip_range,train/learning_rate,train/entropy_loss,train/value_loss,train/policy_gradient_loss,train/std,train/clip_fraction
1165,379,133.32,189.6885223388672,442368,18,85,0.64954674243927,0.0015186843,335.6907653808594,0.2,0.0003,-17.065899403889976,704.0810587565104,-0.0016181284988609453,1.0033215284347534,0.0004069010416666667
1166,400,133.12,188.5686492919922,466944,19,90,0.6552548408508301,0.0013176245,337.0814208984375,0.2,0.0003,-17.06610247294108,701.9466430664063,-0.001519335728759567,1.003121018409729,0.00013834635416666666
1170,420,134.96,194.85369873046875,491520,20,95,0.6861343383789062,0.0012855054,328.3513488769531,0.2,0.0003,-17.06236915588379,681.1024088541667,-0.0016136822019082804,1.0027543306350708,0.00013020833333333333
1171,440,136.82,193.0820770263672,516096,21,100,0.7234232425689697,0.0019487027,302.9195251464844,0.2,0.0003,-17.058002217610678,628.6018107096354,-0.0022334282907346885,1.0023996829986572,0.000830078125
1170,462,133.2,196.3874053955078,540672,22,105,0.7379870414733887,0.0017311359,288.7839660644531,0.2,0.0003,-17.05269521077474,608.625439453125,-0.001730924363558491,1.0017645359039307,0.0005696614583333334
1164,485,133.41,194.29812622070312,565248,23,110,0.7643089890480042,0.0019637216,280.9783630371094,0.2,0.0003,-17.044897969563802,590.7892822265625,-0.0019270701489100853,1.001247525215149,0.00068359375
1166,505,134.04,199.91683959960938,589824,24,115,0.7957217693328857,0.0016325958,264.53387451171875,0.2,0.0003,-17.040391159057616,558.9756917317708,-0.00170415462149928,1.0010257959365845,0.0004069010416666667
1166,526,134.12,194.95867919921875,614400,25,120,0.8183771371841431,0.0016605448,256.56427001953125,0.2,0.0003,-17.038187789916993,525.4315307617187,-0.002041692736869057,1.0008785724639893,0.0003987630208333333
1166,547,132.48,199.77317810058594,638976,26,125,0.8256789445877075,0.0029584104,248.8779296875,0.2,0.0003,-17.039966583251953,523.6244445800781,-0.0021414469151447217,1.0015259981155396,0.0030110677083333335
1167,568,131.35,198.06431579589844,663552,27,130,0.8424211740493774,0.002057195,242.519775390625,0.2,0.0003,-17.049440765380858,497.6799357096354,-0.001551124049971501,1.002267599105835,0.0008626302083333333
1166,589,133.63,193.69085693359375,688128,28,135,0.8466281294822693,0.0022966245,235.98843383789062,0.2,0.0003,-17.05680758158366,492.6427815755208,-0.0017712226913621028,1.0027321577072144,0.0014404296875
1167,610,133.48,201.08221435546875,712704,29,140,0.8648862838745117,0.0024165844,225.4589080810547,0.2,0.0003,-17.06223030090332,463.2456949869792,-0.0015901224571280182,1.0032258033752441,0.0018961588541666667
1167,631,132.24,196.80776977539062,737280,30,145,0.8766869902610779,0.001570518,213.9453125,0.2,0.0003,-17.06698532104492,443.40508829752605,-0.001553761458490044,1.0034549236297607,0.0003662109375
1167,652,131.17,202.93687438964844,761856,31,150,0.880993127822876,0.0029319974,208.58448791503906,0.2,0.0003,-17.065507634480795,436.6177937825521,-0.002350682788528502,1.0028399229049683,0.0030680338541666666
1167,673,132.87,205.99818420410156,786432,32,155,0.8893548846244812,0.0027785164,201.58328247070312,0.2,0.0003,-17.054628245035808,419.99111328125,-0.0018546943319961429,1.001685380935669,0.0027262369791666665
1168,693,130.49,203.09854125976562,811008,33,160,0.8990039825439453,0.0028102659,191.60743713378906,0.2,0.0003,-17.04467226664225,397.699912516276,-0.0017834375010958561,1.0015201568603516,0.0030110677083333335
1167,715,129.37,204.88328552246094,835584,34,165,0.8972298502922058,0.0024512503,189.07427978515625,0.2,0.0003,-17.045299402872722,391.2092041015625,-0.002185879476989309,1.001494288444519,0.0017333984375
1167,736,130.78,204.04574584960938,860160,35,170,0.8975988030433655,0.0042552142,183.3980712890625,0.2,0.0003,-17.043534088134766,384.52980346679686,-0.002126658234434823,1.0013396739959717,0.008797200520833333
1166,758,128.92,205.2040557861328,884736,36,175,0.8941246271133423,0.0033781463,182.08761596679688,0.2,0.0003,-17.040299479166666,385.0319580078125,-0.002156263155241807,1.0008560419082642,0.005013020833333334
1161,782,128.85,201.5341796875,909312,37,180,0.9040382504463196,0.0030665041,175.47389221191406,0.2,0.0003,-17.03754399617513,369.1017822265625,-0.0019202439812943338,1.00129234790802,0.003995768229166667
1160,804,127.82,207.81369018554688,933888,38,185,0.897702693939209,0.0027245886,179.23480224609375,0.2,0.0003,-17.04468193054199,369.39576212565106,-0.0019197962246835232,1.0016844272613525,0.0027018229166666666
1159,826,127.51,211.66250610351562,958464,39,190,0.9086413979530334,0.0035480417,166.81565856933594,0.2,0.0003,-17.047422536214192,347.8538553873698,-0.0020729504292830827,1.0019387006759644,0.005615234375
1158,848,126.89,206.69467163085938,983040,40,195,0.9104630351066589,0.0038124772,165.46510314941406,0.2,0.0003,-17.050608698527018,341.8721048990885,-0.0017078689998015761,1.0021337270736694,0.007845052083333333
1158,869,128.56,210.53720092773438,1007616,41,200,0.9069201946258545,0.0050828853,162.28005981445312,0.2,0.0003,-17.051960881551107,338.3829854329427,-0.002245092578232288,1.0021758079528809,0.013435872395833333
1157,891,126.2,210.7343292236328,1032192,42,205,0.911420464515686,0.0047231633,160.39784240722656,0.2,0.0003,-17.052196248372397,331.9698811848958,-0.002296193316578865,1.002170443534851,0.011922200520833334
1157,912,126.05,210.25816345214844,1056768,43,210,0.9164075255393982,0.0034321137,150.8148956298828,0.2,0.0003,-17.051296869913738,318.42254638671875,-0.001661400613375008,1.002038836479187,0.005338541666666667
1155,935,128.06,207.14173889160156,1081344,44,215,0.9183338284492493,0.0023242477,150.53826904296875,0.2,0.0003,-17.050623194376627,313.5440388997396,-0.0015973718914513786,1.002182126045227,0.001513671875
1154,957,125.66,211.53904724121094,1105920,45,220,0.9155354499816895,0.0051882765,148.10398864746094,0.2,0.0003,-17.051592508951824,313.29558919270835,-0.002359694940969348,1.0019723176956177,0.014168294270833333
1154,979,126.19,212.83448791503906,1130496,46,225,0.9229568243026733,0.004521781,145.5013427734375,0.2,0.0003,-17.047596867879232,297.8967020670573,-0.0022852279245853422,1.0017467737197876,0.010017903645833333
1155,999,126.2,212.08570861816406,1155072,47,230,0.9228448271751404,0.0019669998,139.35369873046875,0.2,0.0003,-17.048180135091147,294.60817057291666,-0.0014813059785713752,1.00212824344635,0.0010579427083333333
1155,1020,132.09,211.2098388671875,1179648,48,235,0.9274618625640869,0.006063659,137.45883178710938,0.2,0.0003,-17.054896545410156,280.0567932128906,-0.0025142114299039047,1.0027209520339966,0.020027669270833333
1155,1042,130.65,213.82240295410156,1204224,49,240,0.9311429858207703,0.0054470734,131.76394653320312,0.2,0.0003,-17.05912857055664,276.60276285807294,-0.002916405233554542,1.0027021169662476,0.014664713541666667
1154,1064,133.1,203.9951934814453,1228800,50,245,0.9324638843536377,0.005156843,128.5938720703125,0.2,0.0003,-17.057837804158527,265.4866027832031,-0.0021516395111878714,1.0027397871017456,0.013264973958333334
1152,1087,132.95,206.58900451660156,1253376,51,250,0.9252947568893433,0.0038812663,133.44290161132812,0.2,0.0003,-17.058135350545246,280.27138468424477,-0.0022782787680625917,1.0024522542953491,0.006306966145833333
1151,1110,131.05,212.25433349609375,1277952,52,255,0.927173376083374,0.0051828795,132.67538452148438,0.2,0.0003,-17.053626505533853,276.0022827148438,-0.002622272085864097,1.0023362636566162,0.014412434895833333
1149,1133,132.49,214.94236755371094,1302528,53,260,0.941196858882904,0.005388493,117.34149169921875,0.2,0.0003,-17.055766296386718,242.92899068196616,-0.002288967122634252,1.0027822256088257,0.0163818359375
1147,1156,131.71,216.3032989501953,1327104,54,265,0.9445502758026123,0.0075041563,109.7330551147461,0.2,0.0003,-17.058155186971028,232.00589701334636,-0.002702237448344628,1.00235116481781,0.0296630859375
1145,1179,133.25,213.05703735351562,1351680,55,270,0.9452463388442993,0.006463245,109.28408813476562,0.2,0.0003,-17.051594416300457,225.6391337076823,-0.002394770896838357,1.0020633935928345,0.0211181640625
1145,1201,131.62,216.0531463623047,1376256,56,275,0.9374929666519165,0.004185717,115.94544219970703,0.2,0.0003,-17.051239649454754,243.0693806966146,-0.002586104837246239,1.0021108388900757,0.008024088541666667
1145,1222,134.98,214.22003173828125,1400832,57,280,0.9482530355453491,0.007757897,104.04117584228516,0.2,0.0003,-17.051678212483726,218.3373789469401,-0.002921825918989877,1.002355933189392,0.033935546875
1145,1243,133.01,208.7883758544922,1425408,58,285,0.9466508626937866,0.005328124,103.13822937011719,0.2,0.0003,-17.05530204772949,215.33869323730468,-0.00228576196047167,1.002455711364746,0.014900716145833333
1146,1265,132.64,216.26295471191406,1449984,59,290,0.946168839931488,0.004521757,102.0306167602539,0.2,0.0003,-17.055391184488933,215.69772135416667,-0.00203611981899788,1.0026072263717651,0.010978190104166667
1146,1286,133.96,217.1128387451172,1474560,60,295,0.9530740976333618,0.005457585,93.33472442626953,0.2,0.0003,-17.057532501220702,197.76470031738282,-0.0025345271453261374,1.0026960372924805,0.016031901041666668
1145,1308,133.67,216.16021728515625,1499136,61,300,0.9549810886383057,0.004319756,90.73272705078125,0.2,0.0003,-17.056558990478514,192.03031209309896,-0.002097115840297192,1.0023595094680786,0.009049479166666667
1144,1331,129.61,216.45899963378906,1523712,62,305,0.9548010230064392,0.006020004,92.69071197509766,0.2,0.0003,-17.05036366780599,192.69991556803384,-0.0023029623941207924,1.0018306970596313,0.019734700520833332
