time/time_elapsed,time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/total_timesteps,train/loss,train/clip_fraction,train/clip_range,train/policy_gradient_loss,train/approx_kl,train/n_updates,train/learning_rate,train/value_loss,train/std,train/entropy_loss,train/explained_variance
450,21,189.3433074951172,137.26,1145,516096,290.6205139160156,0.00048828125,0.2,-0.0016284294814492264,0.0017843712,100,0.0003,602.7980143229166,1.0040713548660278,-17.073329798380534,0.7429903745651245
470,22,191.9224090576172,134.82,1148,540672,289.7772216796875,0.0006429036458333333,0.2,-0.002017850708216429,0.0019135576,105,0.0003,598.0497802734375,1.004380464553833,-17.07776311238607,0.759263813495636
493,23,189.95382690429688,133.04,1144,565248,265.9946594238281,0.0007649739583333333,0.2,-0.0016379160496095815,0.001970204,110,0.0003,556.2428792317709,1.0046316385269165,-17.080903625488283,0.7928777933120728
515,24,198.36302185058594,132.7,1143,589824,271.1123046875,0.00034993489583333334,0.2,-0.001675630605313927,0.0015911739,115,0.0003,562.4841796875,1.0052738189697266,-17.085609436035156,0.7943927049636841
537,25,195.3968505859375,131.12,1142,614400,253.9756622314453,0.0007731119791666666,0.2,-0.0016580935451202094,0.001691149,120,0.0003,521.5911682128906,1.0066996812820435,-17.097164662679038,0.8222576975822449
559,26,196.12571716308594,134.51,1142,638976,242.73341369628906,0.0013020833333333333,0.2,-0.0018966378178447486,0.0021946484,125,0.0003,505.26416829427086,1.0079180002212524,-17.114638646443684,0.8353930115699768
580,27,193.39398193359375,133.24,1143,663552,244.7162322998047,0.0006917317708333334,0.2,-0.00147492541000247,0.0018719592,130,0.0003,505.92194213867185,1.0088872909545898,-17.1268798828125,0.838614284992218
601,28,196.6245880126953,132.25,1143,688128,237.2671661376953,0.004353841145833333,0.2,-0.0022861258980507652,0.0032751665,135,0.0003,482.8670247395833,1.009414553642273,-17.13686294555664,0.8530639410018921
623,29,192.9607391357422,133.49,1142,712704,222.5653533935547,0.006306966145833333,0.2,-0.002240362538335224,0.003708152,140,0.0003,463.3444112141927,1.0095866918563843,-17.140384928385416,0.8655452132225037
645,30,193.14292907714844,131.69,1142,737280,217.02688598632812,0.0006591796875,0.2,-0.0015175979894896348,0.001745156,145,0.0003,448.5327982584635,1.009656548500061,-17.141701889038085,0.8700832724571228
666,31,199.857421875,132.89,1143,761856,211.867431640625,0.004679361979166667,0.2,-0.0025783254221702617,0.0033209457,150,0.0003,440.59532470703124,1.009376883506775,-17.140876897176106,0.8772555589675903
687,32,201.8917999267578,131.74,1144,786432,196.83811950683594,0.004996744791666666,0.2,-0.0022298134475325546,0.003490188,155,0.0003,408.5010050455729,1.0086612701416016,-17.135018412272135,0.8924193382263184
708,33,202.7963409423828,132.27,1144,811008,191.0128631591797,0.0049397786458333336,0.2,-0.002182018120462696,0.0033482357,160,0.0003,400.57737630208334,1.008144497871399,-17.126827239990234,0.8957549929618835
731,34,204.7277374267578,133.46,1142,835584,180.2766571044922,0.0040283203125,0.2,-0.0022285934149598083,0.00317818,165,0.0003,384.00743408203124,1.0075052976608276,-17.12068125406901,0.9023054838180542
752,35,197.10430908203125,131.97,1142,860160,180.50086975097656,0.0034016927083333334,0.2,-0.002057026334417363,0.0029096964,170,0.0003,375.48585815429686,1.0071464776992798,-17.11348648071289,0.9037604331970215
774,36,201.5874481201172,131.74,1142,884736,184.8520965576172,0.0039794921875,0.2,-0.0021404066666339833,0.003113415,175,0.0003,382.0443074544271,1.0080207586288452,-17.11527290344238,0.8949339985847473
